Year,ISO Code,Countries,Rank,Quartile,EFW,Size of Gov,Legal System,Sound Money,Freedom to Trade,Regulation,PIB per capita,% PIB per capita,Std % PIB per capita,PIB per capita (log),% PIB Real,Retorno Anual,Risco Anual,TradeVolume,NEmpresas,ValorMercado
2011,THA,Thailand,98,3,"6,55","7,30","4,93","6,99","6,45","7,08","5.396,64","0,080","0,095","8,59","0,008","-0,01","0,22",,,
2011,TUR,Turkey,67,2,"7,1","7,53","5,32","8,96","7,13","6,58","11.308,37","0,065","0,150","9,33","0,112","-0,25","0,26",,,
2011,USA,United States,5,1,"8,16","7,20","7,49","9,68","8,01","8,42","50.065,97","0,029","0,027","10,82","0,015","0,00","0,23",,,
2010,ARG,Argentina,132,4,"5,8","6,59","4,49","6,65","5,89","5,39","10.385,96","0,269","0,146","9,25","0,101","0,40","0,24",,,
2010,BRA,Brazil,90,3,"6,68","7,47","5,85","7,79","7,04","5,25","11.249,29","0,313","0,129","9,33","0,075","0,01","0,20","-0,2151384909","0,1052631579","0,1569219192"
2010,CHL,Chile,10,1,"8,01","7,97","6,88","9,31","8,28","7,61","12.767,78","0,254","0,135","9,45","0,059","0,32","0,11",,,
2010,CHN,China,122,4,"6,02","4,58","5,39","7,89","6,29","5,95","4.550,47","0,187","0,076","8,42","0,106","-0,15","0,22",,,
2010,FRA,France,23,1,"7,74","5,56","7,60","9,67","8,32","7,53","40.676,06","-0,025","0,090","10,61","0,018","-0,02","0,24",,,
2010,DEU,Germany,18,1,"7,84","6,19","8,07","9,59","8,19","7,14","41.572,46","-0,002","0,090","10,64","0,042","0,15","0,18",,,
2010,HKG,"Hong Kong SAR, China",1,1,"9,1","8,97","7,94","9,65","9,52","9,40","32.550,14","0,060","0,042","10,39","0,068","0,05","0,18",,,
2010,ISR,Israel,40,2,"7,51","6,46","5,86","9,49","8,47","7,27","31.266,61","0,104","0,092","10,35","0,057","0,14","0,16",,,
2010,JPN,Japan,16,1,"7,85","6,01","7,58","9,90","7,72","8,01","44.968,16","0,089","0,067","10,71","0,041","-0,03","0,21",,,
2010,KOR,"Korea, Rep.",31,1,"7,6","7,28","6,33","9,49","7,63","7,30","23.087,23","0,206","0,144","10,05","0,068","0,20","0,15",,,
2010,MEX,Mexico,78,3,"6,93","7,55","5,04","8,12","7,00","6,93","9.399,96","0,160","0,137","9,15","0,051","0,17","0,14",,,
2010,TWN,Taiwan,36,1,"7,55","7,24","6,36","9,63","7,29","7,21","0,00","0,000","0,000","0,00","0,102","0,09","0,17",,,
2010,THA,Thailand,97,3,"6,58","7,20","5,08","7,10","6,43","7,10","4.996,37","0,203","0,097","8,52","0,075","0,34","0,17",,,
2010,TUR,Turkey,74,2,"6,97","7,28","5,22","8,80","7,24","6,32","10.614,98","0,181","0,149","9,27","0,084","0,22","0,23",,,
2010,USA,United States,5,1,"8,14","7,03","7,65","9,68","8,02","8,34","48.650,64","0,031","0,030","10,79","0,027","0,12","0,18",,,
2009,ARG,Argentina,112,4,"6,01","6,41","4,61","7,07","6,18","5,80","8.184,39","-0,088","0,135","9,01","-0,059","0,78","0,35",,,
2011,BRA,Brazil,94,3,"6,66","7,48","5,97","7,78","6,96","5,12","13.200,56","0,173","0,128","9,49","0,040","-0,20","0,24","0,01916641314","0,03174603175","-0,01310494036"
2009,CHL,Chile,10,1,"7,94","7,87","6,95","9,33","8,37","7,15","10.182,86","-0,056","0,127","9,23","-0,011","0,41","0,16",,,
2009,CHN,China,110,4,"6,04","4,47","5,45","7,99","6,31","5,98","3.832,23","0,105","0,079","8,25","0,094","0,59","0,30",,,
2009,FRA,France,24,1,"7,69","5,58","7,62","9,66","8,40","7,21","41.737,76","-0,083","0,084","10,64","-0,028","0,20","0,27",,,
2009,DEU,Germany,17,1,"7,78","6,16","8,20","9,53","8,22","6,77","41.650,37","-0,087","0,088","10,64","-0,057","0,21","0,29",,,
2009,HKG,"Hong Kong SAR, China",1,1,"9,1","9,05","8,02","9,63","9,46","9,32","30.697,54","-0,026","0,043","10,33","-0,025","0,42","0,33",,,
2009,ISR,Israel,48,2,"7,3","6,38","5,63","9,52","8,60","6,38","28.316,79","-0,062","0,094","10,25","0,009","0,64","0,25",,,
