Date,Open,High,Low,Close,Adj Close,Volume,,Variation %,SD,,Year,Return,Risk,,Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2008-08-01,59.505.000.000,59.505.000.000,52.345.000.000,55.680.000.000,55.680.000.000,22831800,,"-0,06428031258",,,,,,,,,,,,,,,
2008-09-01,55.665.000.000,55.665.000.000,43.766.000.000,49.541.000.000,49.541.000.000,35435000,,"-0,1102550287",,,,,,,,,,,,,,,
2008-10-01,49.538.000.000,49.834.000.000,29.435.000.000,37.257.000.000,37.257.000.000,46438000,,"-0,2479562383",,,,,,,,,,,,,,,
2008-11-01,37.261.000.000,41.003.000.000,31.081.000.000,36.596.000.000,36.596.000.000,33453000,,"-0,01774163244",,,,,,,,,,,,,,,
2008-12-01,36.596.000.000,40.498.000.000,33.798.000.000,37.550.000.000,37.550.000.000,32444400,,"0,02606842278",,,,,,,,,,,,,,,
2009-01-01,37.550.000.000,42.525.000.000,36.744.000.000,39.301.000.000,39.301.000.000,33499800,,"0,04663115846",,,,,,,,,,,,,,,
2009-02-01,39.296.000.000,43.441.000.000,37.324.000.000,38.183.000.000,38.183.000.000,30069600,,"-0,02844711331",,,,,,,,,,,,,,,
2009-03-01,38.180.000.000,42.680.000.000,35.722.000.000,40.926.000.000,40.926.000.000,35335800,,"0,07183825263",,,,,,,,,,,,,,,
2009-04-01,40.918.000.000,48.126.000.000,40.256.000.000,47.290.000.000,47.290.000.000,34551000,,"0,155500171",,,,,,,,,,,,,,,
2009-05-01,47.290.000.000,53.806.000.000,47.290.000.000,53.198.000.000,53.198.000.000,35239600,,"0,1249312751",,,,,,,,,,,,,,,
2009-06-01,53.202.000.000,54.955.000.000,49.130.000.000,51.465.000.000,51.465.000.000,30445600,,"-0,03257641265",,,,,,,,,,,,,,,
2009-07-01,51.464.000.000,55.083.000.000,48.262.000.000,54.766.000.000,54.766.000.000,29458000,,"0,06414067813",,,,,,,,,,,,,,,
2009-08-01,54.766.000.000,58.634.000.000,54.766.000.000,56.489.000.000,56.489.000.000,27932200,,"0,03146112552",,,,,,,,,,,,,,,
2009-09-01,56.489.000.000,62.017.000.000,55.339.000.000,61.518.000.000,61.518.000.000,28071600,,"0,08902618209",,,,,,,,,,,,,,,
2009-10-01,61.519.000.000,67.530.000.000,59.678.000.000,61.546.000.000,61.546.000.000,33944200,,"0,0004551513378",,,,,,,,,,,,,,,
2009-11-01,61.539.000.000,68.060.000.000,60.724.000.000,67.044.000.000,67.044.000.000,30950400,,"0,08933155688",,,,,,,,,,,,,,,
2009-12-01,67.051.000.000,69.785.000.000,65.925.000.000,68.588.000.000,68.588.000.000,25856400,,"0,02302965217",,,,,,,,,,,,,,,
2010-01-01,68.587.000.000,71.068.000.000,64.541.000.000,65.402.000.000,65.402.000.000,32866000,,"-0,04645127428",,,,,,,,,,,,,,,
2010-02-01,65.402.000.000,68.120.000.000,61.341.000.000,66.503.000.000,66.503.000.000,27096400,,"0,01683434757",,,,,,,,,,,,,,,
2010-03-01,66.511.000.000,70.486.000.000,66.511.000.000,70.372.000.000,70.372.000.000,37817200,,"0,05817782656",,,,,,,,,,,,,,,
2010-04-01,70.375.000.000,71.989.000.000,65.914.000.000,67.530.000.000,67.530.000.000,34294000,,"-0,04038538055",,,,,,,,,,,,,,,
2010-05-01,67.534.000.000,67.969.000.000,57.634.000.000,63.047.000.000,63.047.000.000,52407200,,"-0,06638531023",,,,,,,,,,,,,,,
2010-06-01,63.033.000.000,65.831.000.000,60.936.000.000,60.936.000.000,60.936.000.000,36575200,,"-0,03348295716",,,,,,,,,,,,,,,
2010-07-01,60.935.000.000,67.608.000.000,60.056.000.000,67.515.000.000,67.515.000.000,34777400,,"0,1079657345",,,,,,,,,,,,,,,
2010-08-01,67.524.000.000,68.754.000.000,63.804.000.000,65.145.000.000,65.145.000.000,38356200,,"-0,03510331038",,,,,,,,,,,,,,,
2010-09-01,65.154.000.000,69.737.000.000,65.154.000.000,69.430.000.000,69.430.000.000,43837400,,"0,06577634508",,,,,,,,,,,,,,,
2010-10-01,69.438.000.000,72.140.000.000,68.847.000.000,70.673.000.000,70.673.000.000,48426200,,"0,01790292381",,,,,,,,,,,,,,,
2010-11-01,70.686.000.000,73.103.000.000,67.103.000.000,67.705.000.000,67.705.000.000,30655600,,"-0,04199623619",,,,,,,,,,,,,,,
2010-12-01,67.731.000.000,70.589.000.000,66.948.000.000,69.305.000.000,69.305.000.000,27004200,,"0,02363193265",,,,,,,,,,,,,,,
2011-01-01,69.310.000.000,71.924.000.000,65.898.000.000,66.575.000.000,66.575.000.000,41876200,,"-0,03939109732",,,,,,,,,,,,,,,
2011-02-01,66.575.000.000,68.226.000.000,64.016.000.000,67.383.000.000,67.383.000.000,48663800,,"0,01213668795",,,,,,,,,,,,,,,
2011-03-01,67.381.000.000,68.606.000.000,65.463.000.000,68.587.000.000,68.587.000.000,45965400,,"0,01786800825",,,,,,,,,,,,,,,
2011-04-01,68.588.000.000,70.108.000.000,65.105.000.000,66.133.000.000,66.133.000.000,34800400,,"-0,0357793751",,,,,,,,,,,,,,,
2011-05-01,66.119.000.000,66.500.000.000,61.659.000.000,64.620.000.000,64.620.000.000,48359800,,"-0,02287813951",,,,,,,,,,,,,,,
2011-06-01,64.616.000.000,64.979.000.000,60.489.000.000,62.404.000.000,62.404.000.000,39742200,,"-0,03429278861",,,,,,,,,,,,,,,
2011-07-01,62.404.000.000,63.891.000.000,58.009.000.000,58.823.000.000,58.823.000.000,41716000,,"-0,05738414204",,,,,,,,,,,,,,,
